#EEP,M/Mo  L,ogTeff,LogG  L,ogL/Lo,F435W,F475W,F555W,F606W,F625W,F775W,F814W,F850L
90,0.702421,3.7863,4.5368,-0.1535,5.8064,5.6398,5.3499,5.1924,5.027,4.7111,4.6665,4.537
91,0.70654,3.7888,4.5277,-0.1322,5.7444,5.5809,5.2948,5.1395,4.976,4.6639,4.6199,4.4922
92,0.710383,3.791,4.5186,-0.1117,5.6851,5.5244,5.2418,5.0885,4.9268,4.6182,4.5748,4.4485
93,0.713988,3.7931,4.5092,-0.0916,5.6267,5.4688,5.1896,5.0382,4.8781,4.5729,4.53,4.4054
94,0.717391,3.7952,4.4997,-0.0717,5.5697,5.4144,5.1384,4.9888,4.8303,4.5282,4.4858,4.3627
95,0.720629,3.7972,4.4899,-0.052,5.5131,5.3603,5.0876,4.9398,4.7829,4.4839,4.442,4.3203
96,0.723735,3.7992,4.4799,-0.0323,5.4564,5.3063,5.0368,4.8909,4.7356,4.44,4.3985,4.2782
97,0.726741,3.801,4.4696,-0.0126,5.4004,5.2527,4.9865,4.8424,4.6888,4.3963,4.3553,4.2363
98,0.729676,3.8029,4.4588,0.0073,5.3434,5.1984,4.9356,4.7935,4.6415,4.3523,4.3117,4.1941
99,0.732555,3.8047,4.4477,0.0272,5.2867,5.1441,4.8844,4.7441,4.5937,4.3076,4.2675,4.1511
100,0.73541,3.8064,4.4362,0.0476,5.2292,5.089,4.8324,4.6938,4.545,4.2619,4.2222,4.1071
101,0.738276,3.8082,4.4242,0.0681,5.1715,5.0334,4.7796,4.6426,4.4952,4.2149,4.1757,4.0617
102,0.741168,3.8099,4.4116,0.089,5.1132,4.977,4.7257,4.5902,4.4441,4.1666,4.1276,4.0149
103,0.744103,3.8115,4.3985,0.1103,5.0541,4.9197,4.671,4.5368,4.392,4.1171,4.0785,3.9668
104,0.747102,3.813,4.3848,0.132,4.9943,4.8616,4.6152,4.4824,4.3389,4.0663,4.0282,3.9175
105,0.750184,3.8146,4.3705,0.1542,4.9336,4.8026,4.5585,4.427,4.2846,4.0146,3.9767,3.8671
106,0.75346,3.816,4.3553,0.1769,4.8711,4.742,4.5002,4.3701,4.2289,3.9613,3.9237,3.8151
107,0.757013,3.8173,4.3392,0.2006,4.8065,4.6791,4.4397,4.3109,4.1711,3.9058,3.8686,3.7608
108,0.760749,3.8186,4.3223,0.2248,4.7406,4.6149,4.3779,4.2503,4.1117,3.8488,3.8118,3.7048
109,0.764581,3.8199,4.3049,0.2494,4.6739,4.5499,4.3151,4.1889,4.0514,3.7906,3.7541,3.6478
110,0.768427,3.8211,4.2872,0.2741,4.6069,4.4845,4.252,4.1269,3.9907,3.7322,3.6958,3.5903
111,0.772206,3.8223,4.2697,0.2987,4.5403,4.4195,4.1891,4.0652,3.93,3.6738,3.6377,3.533
112,0.773268,3.8227,4.2648,0.3057,4.5213,4.401,4.1713,4.0478,3.9129,3.6573,3.6213,3.5169
113,0.774325,3.8231,4.26,0.3127,4.5023,4.3824,4.1534,4.0303,3.8957,3.6408,3.6049,3.5007
114,0.775377,3.8235,4.2552,0.3196,4.4834,4.3639,4.1355,4.0128,3.8787,3.6245,3.5886,3.4846
115,0.776423,3.8239,4.2506,0.3265,4.4645,4.3454,4.1177,3.9953,3.8616,3.6081,3.5723,3.4686
116,0.77746,3.8243,4.2457,0.3335,4.4455,4.3269,4.0999,3.9779,3.8444,3.5917,3.556,3.4525
117,0.778488,3.8247,4.241,0.3403,4.4267,4.3086,4.0821,3.9605,3.8274,3.5753,3.5397,3.4365
118,0.779504,3.825,4.2361,0.3473,4.4078,4.2901,4.0643,3.943,3.8103,3.5588,3.5234,3.4204
119,0.780506,3.8254,4.2312,0.3543,4.3889,4.2717,4.0465,3.9255,3.7931,3.5423,3.5068,3.404
120,0.781494,3.8257,4.226,0.3612,4.3701,4.2532,4.0285,3.908,3.7757,3.5256,3.4902,3.3876
121,0.782465,3.826,4.2208,0.3683,4.3512,4.2347,4.0105,3.8902,3.7583,3.5087,3.4733,3.3711
122,0.78342,3.8264,4.2155,0.3753,4.3323,4.2161,3.9925,3.8725,3.7408,3.4918,3.4565,3.3544
123,0.784358,3.8266,4.2101,0.3824,4.3133,4.1975,3.9744,3.8546,3.7233,3.4748,3.4395,3.3375
124,0.785279,3.8269,4.2046,0.3895,4.2944,4.1789,3.9562,3.8367,3.7056,3.4576,3.4224,3.3206
125,0.786182,3.8272,4.1989,0.3966,4.2755,4.1603,3.938,3.8188,3.6879,3.4405,3.4053,3.3036
126,0.787067,3.8274,4.1932,0.4037,4.2566,4.1416,3.9199,3.8009,3.6702,3.4231,3.3881,3.2865
127,0.787933,3.8276,4.1874,0.4108,4.2377,4.123,3.9017,3.7828,3.6524,3.4058,3.3707,3.2693
128,0.788781,3.8277,4.1814,0.4179,4.2189,4.1044,3.8833,3.7648,3.6345,3.3883,3.3532,3.2519
129,0.789608,3.8279,4.1752,0.4251,4.2001,4.0858,3.8651,3.7466,3.6165,3.3706,3.3356,3.2344
130,0.790415,3.828,4.1688,0.4323,4.1813,4.0672,3.8468,3.7284,3.5985,3.3528,3.3179,3.2167
131,0.791201,3.8281,4.1623,0.4395,4.1624,4.0485,3.8283,3.7102,3.5803,3.3349,3.3,3.1988
132,0.791967,3.8281,4.1557,0.4468,4.1437,4.0299,3.8099,3.6919,3.5621,3.3169,3.2819,3.1808
133,0.79271,3.8282,4.1488,0.4541,4.125,4.0113,3.7915,3.6735,3.5438,3.2987,3.2637,3.1626
134,0.793432,3.8281,4.1418,0.4614,4.1064,3.9928,3.773,3.6551,3.5254,3.2803,3.2453,3.1441
135,0.794131,3.828,4.1345,0.4688,4.0878,3.9742,3.7545,3.6365,3.5068,3.2618,3.2268,3.1254
136,0.794809,3.8279,4.127,0.4761,4.0692,3.9556,3.7359,3.6179,3.4882,3.2431,3.208,3.1067
137,0.795464,3.8277,4.1193,0.4836,4.0508,3.9371,3.7173,3.5992,3.4695,3.2241,3.1891,3.0876
138,0.796096,3.8275,4.1113,0.491,4.0324,3.9186,3.6986,3.5805,3.4506,3.2051,3.17,3.0683
139,0.796706,3.8273,4.1032,0.4985,4.0141,3.9001,3.68,3.5617,3.4317,3.1859,3.1507,3.0488
140,0.797293,3.827,4.0946,0.506,3.9958,3.8817,3.6612,3.5428,3.4126,3.1664,3.1311,3.029
141,0.797862,3.8266,4.086,0.5135,3.9776,3.8633,3.6425,3.5238,3.3934,3.1467,3.1114,3.009
142,0.798416,3.8261,4.0769,0.5211,3.9594,3.8448,3.6237,3.5047,3.3741,3.1268,3.0913,2.9887
143,0.798957,3.8257,4.0676,0.5288,3.9413,3.8264,3.6047,3.4855,3.3546,3.1067,3.0711,2.9681
