#NUM,BER OF AGE,S= 1,,,,,,,,,,
#---,----------,--------,--------,--------,--------,-------,,,,,,
#MIX,#NAME?,Z,Ze,ff,[Fe/H],[a/Fe],,,,,,
# 1.,9380  0.24,53 2.046,1E-04 1.,4.90E-01,-2.1,0.2,,,,,,
#---,----------,--------,--------,--------,--------,-------,,,,,,
#**P,HOTOMETRIC,SYSTEM*,*: HST A,CS-WFC (,PHOENIX),,,,,,,
#---,----------,--------,--------,--------,--------,-------,,,,,,
#AGE,=12.500 EE,PS=266,,,,,,,,,,
#EEP,M/Mo  L,ogTeff,LogG  L,ogL/Lo,F435W,F475W,F555W,F606W,F625W,F775W,F814W,F850L
154,0.794174,3.8121,3.9419,0.5979,3.8114,3.682,3.4403,3.3092,3.1673,2.8978,2.8592,2.7472
155,0.794616,3.8106,3.9274,0.6063,3.7954,3.6645,3.4207,3.2883,3.1454,2.8735,2.8344,2.7213
156,0.795039,3.8088,3.9123,0.6146,3.7799,3.6473,3.4014,3.2676,3.1234,2.8489,2.8095,2.6951
157,0.795441,3.8069,3.8967,0.623,3.7648,3.6305,3.3821,3.2469,3.1014,2.8242,2.7843,2.6686
158,0.795823,3.8049,3.8805,0.6314,3.7503,3.6141,3.363,3.2262,3.0794,2.799,2.7587,2.6415
159,0.796187,3.8028,3.8637,0.6398,3.7364,3.5981,3.3442,3.2057,3.0572,2.7736,2.7328,2.6141
160,0.796533,3.8005,3.8464,0.6481,3.7232,3.5826,3.3256,3.1852,3.0351,2.7481,2.7066,2.5865
161,0.796862,3.798,3.8285,0.6565,3.7107,3.5675,3.3074,3.165,3.0132,2.7223,2.6803,2.5585
162,0.79713,3.7958,3.8128,0.6635,3.7006,3.5552,3.2921,3.1479,2.9945,2.7003,2.6579,2.5344
163,0.797391,3.7935,3.7965,0.6707,3.691,3.543,3.2767,3.1305,2.9754,2.6777,2.6347,2.5095
164,0.797649,3.791,3.7795,0.678,3.6822,3.5312,3.261,3.1127,2.9556,2.6539,2.6103,2.4833
165,0.797902,3.7883,3.7614,0.6853,3.6744,3.52,3.2454,3.0946,2.9352,2.629,2.5848,2.4559
166,0.79815,3.7853,3.7419,0.6928,3.6682,3.5097,3.2301,3.0764,2.9145,2.6033,2.5582,2.4271
167,0.798392,3.7818,3.7204,0.7002,3.6634,3.5006,3.2155,3.0586,2.8941,2.5773,2.5313,2.3977
168,0.798632,3.7782,3.6985,0.7077,3.659,3.4917,3.201,3.0407,2.8734,2.551,2.5041,2.3679
169,0.798867,3.7747,3.6771,0.7154,3.6546,3.4826,3.186,3.0225,2.8523,2.5241,2.4765,2.3376
170,0.799101,3.7714,3.656,0.7233,3.6494,3.4728,3.1707,3.004,2.8311,2.4975,2.449,2.3075
171,0.799329,3.7681,3.6351,0.7313,3.643,3.4621,3.1548,2.9851,2.8097,2.4709,2.4216,2.2778
172,0.799553,3.7651,3.6147,0.7397,3.6354,3.4503,3.1381,2.9656,2.7879,2.4443,2.3942,2.248
173,0.799768,3.7622,3.5946,0.7485,3.6262,3.4371,3.1203,2.9453,2.7654,2.4173,2.3664,2.2181
174,0.799973,3.7596,3.575,0.7577,3.6152,3.4224,3.1013,2.924,2.7421,2.3897,2.3381,2.1877
175,0.800168,3.7571,3.5558,0.7672,3.6025,3.4062,3.081,2.9015,2.7178,2.3616,2.3094,2.1572
176,0.800352,3.755,3.5373,0.7772,3.5877,3.3882,3.0595,2.878,2.6927,2.3331,2.2803,2.1265
177,0.800526,3.753,3.5193,0.7875,3.5712,3.3689,3.0369,2.8536,2.6669,2.3042,2.2509,2.0956
178,0.800691,3.7513,3.5019,0.798,3.5533,3.3485,3.0134,2.8284,2.6403,2.2748,2.2211,2.0644
179,0.800849,3.7497,3.4851,0.8088,3.5341,3.3268,2.989,2.8025,2.6132,2.2452,2.191,2.033
180,0.800999,3.7483,3.4686,0.8197,3.5145,3.3048,2.9642,2.7763,2.5857,2.2152,2.1606,2.0015
181,0.801145,3.7471,3.4526,0.8307,3.4938,3.2819,2.9389,2.7495,2.5578,2.1851,2.1302,1.97
182,0.801304,3.7459,3.435,0.8434,3.469,3.255,2.9095,2.7187,2.526,2.1509,2.0956,1.9344
183,0.801462,3.7447,3.4175,0.8564,3.4428,3.227,2.8791,2.6871,2.4934,2.1163,2.0606,1.8985
184,0.801617,3.7436,3.4001,0.8696,3.4155,3.1978,2.8479,2.6548,2.4602,2.0812,2.0253,1.8623
185,0.80177,3.7427,3.3829,0.8831,3.3869,3.1676,2.816,2.6219,2.4264,2.0458,1.9896,1.8258
186,0.801922,3.7418,3.3657,0.8967,3.3578,3.137,2.7837,2.5887,2.3924,2.0103,1.9538,1.7893
187,0.802073,3.7409,3.3487,0.9105,3.3278,3.1056,2.7507,2.5549,2.3581,1.9746,1.9178,1.7526
188,0.802222,3.7402,3.3319,0.9244,3.2969,3.0735,2.7173,2.5208,2.3234,1.9387,1.8818,1.7159
189,0.802371,3.7395,3.315,0.9384,3.2657,3.0412,2.6837,2.4866,2.2886,1.9027,1.8456,1.6792
190,0.802519,3.7388,3.2984,0.9525,3.234,3.0084,2.6498,2.452,2.2536,1.8666,1.8093,1.6423
191,0.802666,3.7381,3.2818,0.9667,3.2018,2.9753,2.6156,2.4173,2.2184,1.8305,1.773,1.6055
192,0.802812,3.7375,3.2652,0.9809,3.1694,2.942,2.5814,2.3825,2.1831,1.7943,1.7367,1.5686
193,0.802958,3.7369,3.2488,0.9951,3.1368,2.9085,2.5469,2.3475,2.1477,1.758,1.7002,1.5318
194,0.803103,3.7364,3.2324,1.0094,3.1038,2.8747,2.5122,2.3123,2.1123,1.7217,1.6637,1.4948
195,0.803247,3.7359,3.216,1.0238,3.0705,2.8406,2.4772,2.2769,2.0764,1.6851,1.627,1.4577
196,0.80339,3.7354,3.1995,1.0383,3.0368,2.8062,2.4419,2.2412,2.0405,1.6483,1.5901,1.4203
197,0.803532,3.7349,3.1831,1.0529,3.0028,2.7714,2.4064,2.2052,2.0041,1.6113,1.5529,1.3828
198,0.803673,3.7344,3.1664,1.0676,2.9683,2.7363,2.3706,2.169,1.9676,1.574,1.5155,1.3449
199,0.803813,3.7339,3.1498,1.0824,2.9336,2.7009,2.3343,2.1324,1.9307,1.5363,1.4777,1.3067
200,0.803951,3.7334,3.133,1.0975,2.8984,2.6649,2.2977,2.0954,1.8934,1.4983,1.4396,1.2682
201,0.804088,3.733,3.1161,1.1126,2.8631,2.6289,2.2609,2.0582,1.8559,1.4602,1.4013,1.2296
202,0.804225,3.7326,3.0993,1.1278,2.8272,2.5924,2.2237,2.0206,1.8181,1.4218,1.3628,1.1906
203,0.804355,3.7321,3.0816,1.1437,2.7896,2.5542,2.1849,1.9814,1.7786,1.3816,1.3224,1.1499
204,0.804482,3.7317,3.0636,1.16,2.7513,2.5152,2.1451,1.9412,1.7381,1.3405,1.2812,1.1083
205,0.804605,3.7312,3.0452,1.1765,2.7122,2.4753,2.1045,1.9003,1.6969,1.2985,1.2391,1.0658
206,0.804725,3.7307,3.0264,1.1935,2.6722,2.4348,2.0631,1.8585,1.6547,1.2557,1.1961,1.0224
207,0.804842,3.7302,3.0074,1.2108,2.6315,2.3934,2.0209,1.816,1.6119,1.2122,1.1525,0.9784
208,0.804955,3.7298,2.9879,1.2283,2.5905,2.3514,1.9782,1.7728,1.5683,1.1678,1.108,0.9334
209,0.805066,3.7292,2.9679,1.2462,2.5487,2.3089,1.9347,1.7288,1.524,1.1226,1.0626,0.8875
210,0.805172,3.7287,2.9476,1.2643,2.5066,2.2657,1.8906,1.6841,1.479,1.0767,1.0165,0.8409
211,0.805275,3.7281,2.927,1.2827,2.464,2.2221,1.8459,1.6389,1.4333,1.0301,0.9697,0.7937
212,0.805376,3.7276,2.9062,1.3013,2.4207,2.1779,1.8007,1.5931,1.3872,0.983,0.9224,0.7458
213,0.805473,3.7269,2.885,1.3201,2.3772,2.1333,1.7549,1.5468,1.3404,0.9352,0.8745,0.6974
214,0.805568,3.7263,2.8637,1.3391,2.3332,2.0882,1.7086,1.5,1.2931,0.887,0.826,0.6483
215,0.80566,3.7257,2.8419,1.3584,2.2893,2.0431,1.6622,1.4528,1.2454,0.8381,0.777,0.5987
216,0.805748,3.7251,2.8203,1.3778,2.2441,1.9969,1.6149,1.405,1.1971,0.7889,0.7276,0.5489
217,0.805768,3.725,2.8154,1.3821,2.234,1.9866,1.6043,1.3942,1.1862,0.7778,0.7164,0.5377
218,0.805787,3.7249,2.8104,1.3865,2.2239,1.9762,1.5936,1.3833,1.1753,0.7666,0.7053,0.5262
219,0.805807,3.7247,2.8054,1.3909,2.2136,1.9657,1.5828,1.3725,1.1643,0.7554,0.694,0.5149
220,0.805826,3.7246,2.8005,1.3954,2.2034,1.9552,1.572,1.3616,1.1533,0.7441,0.6826,0.5034
221,0.805846,3.7244,2.7955,1.3999,2.1932,1.9446,1.5612,1.3506,1.1422,0.7328,0.6713,0.4919
222,0.805865,3.7243,2.7903,1.4043,2.1831,1.9342,1.5505,1.3397,1.1311,0.7214,0.6598,0.4803
223,0.805884,3.7241,2.7852,1.4088,2.1729,1.9237,1.5396,1.3286,1.12,0.7099,0.6484,0.4687
