#NUM,BER OF AGE,S= 1,,,,,,,,,,
#---,----------,--------,--------,--------,--------,-------,,,,,,
#MIX,#NAME?,Z,Ze,ff,[Fe/H],[a/Fe],,,,,,
# 1.,9380  0.24,53 2.046,1E-04 1.,4.90E-01,-2.1,0.2,,,,,,
#---,----------,--------,--------,--------,--------,-------,,,,,,
#**P,HOTOMETRIC,SYSTEM*,*: HST A,CS-WFC (,PHOENIX),,,,,,,
#---,----------,--------,--------,--------,--------,-------,,,,,,
#AGE,=13.000 EE,PS=266,,,,,,,,,,
#EEP,M/Mo  L,ogTeff,LogG  L,ogL/Lo,F435W,F475W,F555W,F606W,F625W,F775W,F814W,F850L
93,0.699631,3.7875,4.5153,-0.1292,5.7413,5.5764,5.2884,5.132,4.9675,4.6535,4.6091,4.4804
94,0.703647,3.7897,4.5049,-0.1074,5.6782,5.5161,5.2318,5.0774,4.9148,4.6043,4.5605,4.4335
95,0.707361,3.7919,4.4947,-0.086,5.6169,5.4576,5.1768,5.0244,4.8634,4.5563,4.5132,4.3876
96,0.710809,3.794,4.4844,-0.0651,5.5568,5.4002,5.1226,4.9721,4.8129,4.5091,4.4664,4.3424
97,0.714025,3.796,4.4737,-0.0448,5.4989,5.3448,5.0703,4.9214,4.7637,4.4629,4.4207,4.2981
98,0.717043,3.7979,4.4629,-0.0245,5.4409,5.2893,5.018,4.871,4.7148,4.4172,4.3754,4.2542
99,0.719874,3.7997,4.4519,-0.0045,5.3845,5.2353,4.9669,4.8217,4.6669,4.3723,4.331,4.211
100,0.722551,3.8014,4.4406,0.0155,5.3275,5.1808,4.9157,4.7722,4.6191,4.3275,4.2867,4.168
101,0.725119,3.8031,4.429,0.0353,5.2714,5.1271,4.865,4.7232,4.5716,4.283,4.2425,4.125
102,0.7276,3.8048,4.417,0.0553,5.215,5.0729,4.8138,4.6737,4.5236,4.2378,4.1977,4.0814
103,0.729998,3.8063,4.4046,0.0752,5.1591,5.019,4.7626,4.6241,4.4753,4.1923,4.1525,4.0373
104,0.732341,3.8078,4.3919,0.0955,5.1031,4.9649,4.711,4.5739,4.4263,4.1458,4.1065,3.9922
105,0.734653,3.8093,4.3787,0.1157,5.0473,4.9107,4.659,4.5231,4.3767,4.0985,4.0595,3.9462
106,0.736945,3.8106,4.365,0.1362,4.9912,4.8562,4.6066,4.4719,4.3267,4.0505,4.0118,3.8995
107,0.739228,3.8119,4.3509,0.1567,4.935,4.8014,4.5538,4.4202,4.276,4.002,3.9635,3.852
108,0.741521,3.8131,4.3364,0.1775,4.8784,4.7462,4.5005,4.368,4.2248,3.9528,3.9146,3.8039
109,0.743836,3.8142,4.3213,0.1985,4.8214,4.6907,4.4468,4.3153,4.173,3.903,3.8651,3.7551
110,0.746184,3.8153,4.3058,0.2196,4.7642,4.6347,4.3928,4.2623,4.121,3.8528,3.8151,3.7059
111,0.748576,3.8163,4.2899,0.241,4.7065,4.5784,4.3383,4.2088,4.0685,3.8021,3.7646,3.6561
112,0.749298,3.8166,4.2851,0.2474,4.6892,4.5616,4.322,4.1928,4.0527,3.7868,3.7494,3.6411
113,0.750028,3.8169,4.2801,0.2539,4.6717,4.5445,4.3054,4.1766,4.0368,3.7715,3.7341,3.6259
114,0.750769,3.8172,4.2752,0.2604,4.6542,4.5274,4.2888,4.1603,4.0208,3.756,3.7187,3.6107
115,0.751531,3.8175,4.2702,0.267,4.6364,4.51,4.272,4.1438,4.0045,3.7403,3.7031,3.5952
116,0.752318,3.8177,4.2651,0.2737,4.6183,4.4923,4.2549,4.127,3.988,3.7243,3.6872,3.5795
117,0.753126,3.818,4.26,0.2805,4.6001,4.4745,4.2376,4.11,3.9713,3.7082,3.6711,3.5636
118,0.753953,3.8183,4.2547,0.2873,4.5816,4.4564,4.2201,4.0928,3.9544,3.6918,3.6548,3.5475
119,0.754797,3.8186,4.2493,0.2944,4.5628,4.438,4.2023,4.0752,3.9372,3.6751,3.6381,3.5309
120,0.755653,3.8189,4.2438,0.3015,4.5438,4.4195,4.1843,4.0576,3.9197,3.6582,3.6213,3.5143
121,0.756521,3.8192,4.2382,0.3086,4.5246,4.4007,4.166,4.0396,3.902,3.641,3.6042,3.4974
122,0.757396,3.8194,4.2326,0.3159,4.505,4.3815,4.1475,4.0214,3.8841,3.6236,3.5868,3.4802
123,0.758278,3.8197,4.2267,0.3232,4.4853,4.3622,4.1287,4.0029,3.866,3.606,3.5692,3.4628
124,0.759166,3.82,4.2209,0.3307,4.4654,4.3426,4.1097,3.9842,3.8475,3.588,3.5514,3.4451
125,0.760057,3.8203,4.2149,0.3383,4.4454,4.3229,4.0905,3.9653,3.8289,3.5699,3.5334,3.4272
126,0.760951,3.8204,4.2087,0.3458,4.4252,4.3031,4.0712,3.9463,3.8101,3.5516,3.5151,3.4091
127,0.761846,3.8207,4.2024,0.3536,4.4049,4.2832,4.0517,3.927,3.7911,3.5331,3.4966,3.3908
128,0.76274,3.8209,4.196,0.3612,4.3845,4.2631,4.0321,3.9077,3.7719,3.5144,3.4779,3.3721
129,0.763634,3.8211,4.1893,0.3691,4.3641,4.2429,4.0124,3.8881,3.7526,3.4954,3.4589,3.3532
130,0.764525,3.8212,4.1825,0.3769,4.3437,4.2228,3.9925,3.8684,3.733,3.4761,3.4397,3.3341
131,0.765412,3.8213,4.1755,0.3847,4.3232,4.2024,3.9725,3.8485,3.7133,3.4566,3.4203,3.3147
132,0.766294,3.8214,4.1684,0.3927,4.3026,4.1821,3.9524,3.8286,3.6935,3.437,3.4006,3.2951
133,0.76717,3.8214,4.1611,0.4006,4.2821,4.1617,3.9322,3.8085,3.6735,3.4171,3.3808,3.2753
134,0.768039,3.8214,4.1535,0.4087,4.2616,4.1413,3.912,3.7883,3.6533,3.3972,3.3607,3.2552
135,0.7689,3.8213,4.1457,0.4168,4.2411,4.1209,3.8916,3.7679,3.633,3.3768,3.3405,3.2349
136,0.769752,3.8213,4.1378,0.4248,4.2206,4.1004,3.8712,3.7475,3.6126,3.3564,3.3201,3.2144
137,0.770592,3.8211,4.1297,0.433,4.2,4.0798,3.8506,3.7269,3.592,3.3359,3.2993,3.1937
138,0.771422,3.821,4.1213,0.4412,4.1796,4.0593,3.83,3.7063,3.5713,3.315,3.2785,3.1726
139,0.772239,3.8208,4.1128,0.4495,4.1593,4.0388,3.8094,3.6855,3.5504,3.2938,3.2573,3.1512
140,0.773044,3.8205,4.1039,0.4577,4.139,4.0184,3.7886,3.6646,3.5293,3.2724,3.2357,3.1296
141,0.773834,3.8202,4.0947,0.466,4.1188,3.9979,3.7678,3.6435,3.508,3.2507,3.214,3.1076
142,0.774609,3.8199,4.0853,0.4744,4.0988,3.9776,3.7469,3.6223,3.4865,3.2287,3.1919,3.0852
143,0.775369,3.8194,4.0756,0.4828,4.0788,3.9572,3.726,3.601,3.4649,3.2064,3.1696,3.0626
144,0.776112,3.8189,4.0657,0.4912,4.0591,3.9369,3.705,3.5796,3.4431,3.1839,3.1468,3.0395
145,0.776838,3.8184,4.0554,0.4997,4.0395,3.9167,3.6839,3.558,3.4211,3.161,3.1239,3.0161
146,0.777547,3.8178,4.0447,0.5082,4.0201,3.8966,3.6628,3.5364,3.3989,3.1377,3.1005,2.9923
147,0.778236,3.817,4.0338,0.5167,4.001,3.8766,3.6416,3.5145,3.3764,3.1142,3.0768,2.9681
148,0.778908,3.8162,4.0224,0.5252,3.9821,3.8567,3.6205,3.4926,3.3538,3.0903,3.0526,2.9435
149,0.779559,3.8153,4.0106,0.5338,3.9635,3.837,3.5993,3.4706,3.3311,3.066,3.0282,2.9184
150,0.780191,3.8144,3.9984,0.5424,3.9452,3.8175,3.5782,3.4486,3.3082,3.0416,3.0035,2.893
151,0.780801,3.8132,3.9858,0.5511,3.927,3.7982,3.5573,3.4268,3.2856,3.0173,2.979,2.8678
152,0.781392,3.812,3.9726,0.5597,3.909,3.7791,3.5366,3.4051,3.263,2.9929,2.9543,2.8423
153,0.781961,3.8107,3.9589,0.5684,3.8914,3.7602,3.516,3.3835,3.2404,2.9683,2.9294,2.8165
154,0.78251,3.8093,3.9448,0.5771,3.8742,3.7416,3.4956,3.362,3.2179,2.9437,2.9044,2.7904
